category_name,main_category
3D Technology,Computers & Internet
AC Repair Services,Business Services
Adoption Agencies,Business Services
Advertising,Business Services
Advice Centres,Public & Social Services
Aerospace,Manufacturing & Industry
After School Programs,Public & Social Services
AgTech,Computers & Internet
Airports,Transport & Motoring
Air Transport,Transport & Motoring
Air Travel,Transport & Motoring
Aluminium,Tradesmen & Construction
Animal Shelters,Business Services
Anti-Aging Care,Health & Beauty
Anti Corruption Organizations,Public & Social Services
Apartment Rental,Property
Apartments,Tourism & Accommodation
Apps,Computers & Internet
Architectural Services,Tradesmen & Construction
Artificial Intelligence,Computers & Internet
Arts and Crafts,Entertainment & Media
Asset Management,Finances & Insurance
Associations,Public & Social Services
Attractions,Tourism & Accommodation
Auctioneers,Business Services
Auctions,Property
Audit and Accounting,Finances & Insurance
Augmented Reality,Computers & Internet
Auto Dealers- New & Used,Transport & Motoring
Auto Insurance,Transport & Motoring
Automotive,Manufacturing & Industry
Auto Parts- New & Used,Transport & Motoring
Auto Repair,Transport & Motoring
Auto Services,Transport & Motoring
Auto Supplies,Transport & Motoring
Aviation,Transport & Motoring
B2B,Business Services
Baby Sitters,Business Services
Banking Equipment,Finances & Insurance
"Banks, Credit Unions",Finances & Insurance
Beauty Products,Health & Beauty
Beauty Professional,Health & Beauty
Bed and Breakfast,Tourism & Accommodation
Bicycles,Transport & Motoring
Blockchain,Computers & Internet
Boats and Boating,Transport & Motoring
Bookmakers,Entertainment & Media
Books,Shopping
Brand Name,Shopping
Brokers,Business Services
Building Maintenance,Property
Building Materials,Tradesmen & Construction
Building Rubble Skips,Business Services
Buildings,Property
Business Centres,Business Services
Business Consulting,Finances & Insurance
Business Development,Business Services
Business Education,Public & Social Services
Business to Business,Business Services
Bus Line,Transport & Motoring
Cafes,Food & Drink
Camping and Caravans,Tourism & Accommodation
Camping and Outdoors,Shopping
Cannabis,Health & Beauty
Cargo Services,Transport & Motoring
Car Parts and Accessories,Transport & Motoring
Carpentry,Manufacturing & Industry
Car Rental,Transport & Motoring
Car Wash,Transport & Motoring
Casinos,Entertainment & Media
Catering,Food & Drink
Catering Equipment,Food & Drink
Charity,Public & Social Services
Charity Services,Public & Social Services
Chemicals,Tradesmen & Construction
Child Daycare Services,Public & Social Services
Children's Services,Public & Social Services
Churches,Public & Social Services
Cigars and Tobacco,Shopping
Civil Engineering,Manufacturing & Industry
Cleaning,Property
Cleaning Services,Business Services
Clothing and Accessories,Shopping
Cloud Computing,Computers & Internet
Cold Storage Services,Food & Drink
Colleges,Public & Social Services
Commercial,Property
Communications,Computers & Internet
Communities,Public & Social Services
Complementary Therapy,Health & Beauty
Computer Consumable,Computers & Internet
Computer Repair,Computers & Internet
Computer Services,Computers & Internet
Computers Hardware,Computers & Internet
Computer Training,Computers & Internet
Concrete,Tradesmen & Construction
Conferences,Events & Conferences
Construction,Tradesmen & Construction
Construction Equipment,Tradesmen & Construction
Construction Services,Tradesmen & Construction
Construction Training,Tradesmen & Construction
Consultants,Business Services
Consulting,Business Services
Consumer Lending,Finances & Insurance
Cookery,Food & Drink
Cosmetic Surgery,Health & Beauty
Cottages,Tourism & Accommodation
Counseling Services,Public & Social Services
Courier Services,Transport & Motoring
Coworking Spaces,Property
Cremation Service,Business Services
Crowdfunding,Finances & Insurance
Cruises,Transport & Motoring
Cryptocurrency,Computers & Internet
Culture,Entertainment & Media
Cyber Security,Computers & Internet
Data Privacy,Computers & Internet
Decorators,Tradesmen & Construction
Dentists,Health & Beauty
Department Stores,Shopping
Dept Counseling,Finances & Insurance
Digital Currency,Computers & Internet
Discount Stores,Shopping
Disinfecting Services,Manufacturing & Industry
Doctors and Clinics,Health & Beauty
Doors,Tradesmen & Construction
Driving Schools,Transport & Motoring
Dry Cleaning,Business Services
Drywall,Tradesmen & Construction
Duty Free Shop,Shopping
Eco-friendly Products,Food & Drink
EdTech,Computers & Internet
Education,Public & Social Services
E-Learning,Computers & Internet
Electrical Goods,Shopping
Electrical Service,Manufacturing & Industry
Electric Vehicle,Transport & Motoring
Electronic Equipment,Shopping
Energy Suppliers,Manufacturing & Industry
Engineering,Manufacturing & Industry
Engineers,Manufacturing & Industry
Environmental Services,Public & Social Services
Event Equipment,Events & Conferences
Event Services,Events & Conferences
Excavators,Tradesmen & Construction
Excursions,Tourism & Accommodation
Exterminating and Disinfecting,Tradesmen & Construction
Factories,Manufacturing & Industry
Farmers Market,Food & Drink
Farming,Manufacturing & Industry
Fashion,Entertainment & Media
Fencing and Fence Materials,Tradesmen & Construction
Film & Television,Entertainment & Media
Financial Activity,Finances & Insurance
FinTech,Computers & Internet
Firearms,Manufacturing & Industry
Fire Safety Consultants,Business Services
Fire Safety Equipment,Property
Fisheries,Manufacturing & Industry
Fishing Equipment,Shopping
Fitness,Health & Beauty
Food Distributors,Food & Drink
Food Manufacture,Food & Drink
Food Retailers,Food & Drink
Forestry,Tradesmen & Construction
Funding Platform,Finances & Insurance
Funeral Directors,Public & Social Services
Furniture,Shopping
Furniture Manufacture,Manufacturing & Industry
Gadgets,Shopping
Gambling,Entertainment & Media
Garbage Removal,Business Services
Gardeners,Tradesmen & Construction
General,Shopping
General Business,Business Services
Gifts,Shopping
Glass Manufacturing,Tradesmen & Construction
Government,Public & Social Services
Government Offices,Public & Social Services
Government Services,Public & Social Services
Group Homes,Public & Social Services
Guest Houses,Tourism & Accommodation
Gynecologist,Health & Beauty
Hairdressers,Health & Beauty
Handyman,Tradesmen & Construction
Hardware Stores,Shopping
Haulage,Transport & Motoring
Health and Safety,Business Services
Health Care,Health & Beauty
HealthTech,Computers & Internet
Hobbies,Entertainment & Media
Holiday Homes,Tourism & Accommodation
Home and Garden,Shopping
Home Improvement,Property
Home Remodeling,Property
Homestay,Tourism & Accommodation
Hotel & Motel Equipment,Tourism & Accommodation
Hotels,Tourism & Accommodation
Housekeeping Service,Business Services
Human Resources,Business Services
Hunting,Manufacturing & Industry
Industrial Automation,Manufacturing & Industry
Industrial Equipment,Manufacturing & Industry
Industrial Premises,Manufacturing & Industry
Industrial Services,Manufacturing & Industry
Industrial Supplies,Manufacturing & Industry
Information Services,Public & Social Services
Information Technology,Computers & Internet
Infrastructure,Manufacturing & Industry
Insurance Companies,Finances & Insurance
Insurance Services,Finances & Insurance
Interior Design,Property
Internet Services,Computers & Internet
Investing,Finances & Insurance
Investment Companies,Finances & Insurance
iOS,Computers & Internet
Jewellery,Shopping
Junk Dealers,Business Services
Kennels,Business Services
Kids,Shopping
Kindergartens,Public & Social Services
Landscaping,Tradesmen & Construction
Laundry and Dry Cleaning,Business Services
Lawyers,Legal
Leasing,Finances & Insurance
Leisure,Entertainment & Media
Letting Agents,Property
Lifestyle Management,Entertainment & Media
Limousines,Transport & Motoring
Local Authorities,Public & Social Services
Locksmiths,Tradesmen & Construction
Logistics,Transport & Motoring
Lumber,Tradesmen & Construction
Machine Learning,Computers & Internet
Mail Services,Computers & Internet
Marine Services,Transport & Motoring
Marketing,Business Services
Marketplace,Shopping
Market Research,Business Services
Massage Therapists,Health & Beauty
Mechanics,Transport & Motoring
Medical Equipment,Health & Beauty
Membership Services,Business Services
Mental Health Care,Health & Beauty
Metals,Tradesmen & Construction
Military,Public & Social Services
Ministries,Public & Social Services
Mobile Phone Shops,Shopping
Mobility Aids,Health & Beauty
Money Services,Finances & Insurance
Motorbikes,Transport & Motoring
Music,Entertainment & Media
Nanny Agency,Business Services
Networking,Computers & Internet
Nonprofit Organizations,Public & Social Services
Nursing and Care,Health & Beauty
Office Services,Business Services
Oil & Gas Companies,Manufacturing & Industry
Online 18,Shopping
Online 23 Listings,Property
Online Content,Computers & Internet
Optical Shop,Shopping
Opticians,Health & Beauty
Organic Products,Food & Drink
Organizations,Public & Social Services
Outlets,Shopping
Overseas 23,Property
Overseas Business,Business Services
Package Shipping,Transport & Motoring
Paper Products,Manufacturing & Industry
Parking,Transport & Motoring
Parties,Entertainment & Media
Paving,Tradesmen & Construction
Pawnshops,Finances & Insurance
Payment Services,Finances & Insurance
Payroll Services,Finances & Insurance
Performing Arts,Entertainment & Media
Personal Care,Health & Beauty
Personal Finance,Finances & Insurance
Pest Control,Tradesmen & Construction
Pet Grooming,Business Services
Petrol Station,Transport & Motoring
Pets and Animals,Entertainment & Media
Pet Shops,Shopping
Pharmacies,Health & Beauty
Photography,Entertainment & Media
Places to Visit,Tourism & Accommodation
Plumbers,Tradesmen & Construction
Podcast,Entertainment & Media
Police Departments,Public & Social Services
Political,Public & Social Services
Ports and Harbours,Transport & Motoring
Post Offices,Public & Social Services
Pregnancy & Child,Health & Beauty
Printing,Business Services
Product Development,Manufacturing & Industry
Project Management,Computers & Internet
Public Relations,Business Services
Public Transport,Public & Social Services
Pubs and Clubs,Entertainment & Media
Pumps Manufacture,Manufacturing & Industry
Rail Transport,Transport & Motoring
Real Estate Agents,Property
Realtors,Property
Recreation,Tourism & Accommodation
Recycling,Business Services
Religion,Public & Social Services
Remodeling,Tradesmen & Construction
Removals and Relocation,Property
Renovation,Property
Rental 23,Property
Restaurants,Food & Drink
Retail Services,Business Services
Retirement,Public & Social Services
Roofing,Tradesmen & Construction
SaaS,Computers & Internet
Sales Outsourcing,Business Services
Sandblasting,Tradesmen & Construction
Scanning Services,Computers & Internet
Schools,Public & Social Services
Science,Manufacturing & Industry
Second-hand Shop,Shopping
Secondhand Stores,Shopping
Secretarial Services,Business Services
Security,Property
Security Services,Business Services
SEE Result,Academic Results
Self Catering Accommodation,Tourism & Accommodation
Sewing and Needlework,Health & Beauty
Shipping & Port Agent,Transport & Motoring
Shopping Music,Shopping
Shops,Shopping
Sightseeing,Tourism & Accommodation
Small Business,Business Services
Social Network,Entertainment & Media
Social Work Services,Public & Social Services
Software,Computers & Internet
Software Applications,Computers & Internet
Software Engineering,Computers & Internet
Software Solutions,Computers & Internet
Solar Panels,Manufacturing & Industry
Solicitors,Legal
Specialist Accommodation,Tourism & Accommodation
Spirituality,Health & Beauty
Sports,Entertainment & Media
Stainless Steel,Tradesmen & Construction
Staircase Timber Handrail,Tradesmen & Construction
Steel Products,Manufacturing & Industry
Stock Exchanges,Finances & Insurance
Stone,Tradesmen & Construction
Storage Services,Business Services
Streaming Services,Computers & Internet
Supermarket,Food & Drink
Sustainability,Public & Social Services
Tailors and Alterations,Business Services
Take Aways,Food & Drink
Tax Consultants,Finances & Insurance
Taxis,Transport & Motoring
Tempered Glass Railing,Tradesmen & Construction
Textile,Shopping
Timeshares,Business Services
Tire Dealers,Transport & Motoring
Tourism,Tourism & Accommodation
Tourist Information,Tourism & Accommodation
Tour Operators,Tourism & Accommodation
Towing Service,Transport & Motoring
Trading Platform,Computers & Internet
Training,Business Services
Translation Services,Tourism & Accommodation
Transport,Transport & Motoring
Transport Agents,Transport & Motoring
Transportation,Transport & Motoring
Travel Agents,Tourism & Accommodation
Tree Service,Business Services
Tutoring,Public & Social Services
Unions,Public & Social Services
Universities,Public & Social Services
Utilities,Manufacturing & Industry
Vacation Rentals,Property
Vehicle Manufacturers,Transport & Motoring
Vehicle Sales,Transport & Motoring
Vehicle Services,Transport & Motoring
Virtual Reality,Computers & Internet
Visa Agencies,Tourism & Accommodation
Vitamins & Supplements,Health & Beauty
Voluntary Organisations,Public & Social Services
Warehouses,Property
Warehousing,Business Services
Waste Services,Business Services
Water Filters,Tradesmen & Construction
Water Treatment,Manufacturing & Industry
Web Design,Computers & Internet
Web Development,Computers & Internet
Web Hosting,Computers & Internet
Web Services,Computers & Internet
Weddings,Events & Conferences
Wellness,Health & Beauty
Wills and Trusts,Legal
Windows,Tradesmen & Construction
Wine and Beer,Food & Drink
Wrought Iron,Tradesmen & Construction
Youth Organizations,Public & Social Services
